date,open,high,low,close,volume,vwap,Returns
09/16/2013 9:22:43,1695,1695.75,1694.75,1695.25,21050,1695.246508,-0.000147493
09/16/2013 9:31:01,1695.25,1696,1694.5,1695,21028,1695.431984,0.000147471
09/16/2013 9:36:32,1695,1696.75,1695,1695.25,21012,1695.901128,0.000147449
09/16/2013 9:42:29,1695.5,1696.25,1695,1695.5,20979,1695.696542,0
09/16/2013 9:52:28,1695.5,1696,1694.5,1695.5,21057,1695.156112,-0.000590145
09/16/2013 10:00:29,1695.5,1695.75,1693.75,1694.5,21047,1694.678565,0
09/16/2013 10:05:32,1694.5,1695,1693.75,1694.5,21043,1694.203559,0.000294985
09/16/2013 10:17:29,1694.5,1695.5,1694.25,1695,20941,1694.879889,0.00073692
09/16/2013 10:30:32,1695.25,1696.25,1694.5,1696.25,21079,1695.630592,0.000294681
09/16/2013 10:41:41,1696.25,1697,1695.75,1696.75,21045,1696.264291,0.000147319
09/16/2013 10:59:56,1696.75,1697.25,1696.25,1697,21008,1696.706124,0.000147297
09/16/2013 11:11:17,1697,1697.5,1696.5,1697.25,21002,1696.985739,0.000588841
09/16/2013 11:17:33,1697.25,1698.5,1697,1698.25,20998,1697.572305,-0.000884043
09/16/2013 11:32:20,1698.25,1698.5,1696.5,1696.75,20998,1697.628774,-0.000147362
09/16/2013 11:53:38,1696.75,1697.5,1696.25,1696.5,21004,1696.727028,-0.000589797
09/16/2013 12:07:55,1696.5,1696.75,1695,1695.5,21008,1695.623322,-0.000442543
09/16/2013 12:32:11,1695.5,1695.5,1694.25,1694.75,21036,1695.013275,-0.001181509
09/16/2013 12:42:01,1694.75,1695,1692.5,1692.75,21057,1693.596512,-0.001479071
09/16/2013 12:43:30,1692.75,1693,1690,1690.25,21075,1691.248007,0.001034279
09/16/2013 12:52:38,1690.25,1692.5,1690.25,1692,21069,1691.462362,0.000443066
09/16/2013 13:03:36,1692,1693.25,1691.75,1692.75,21062,1692.715898,0
09/16/2013 13:18:14,1692.75,1693,1691.25,1692.75,21059,1692.142564,-0.000738989
09/16/2013 13:31:11,1692.75,1693.25,1691,1691.5,21069,1692.118776,-0.00044359
09/16/2013 13:36:03,1691.5,1692,1690,1690.75,21079,1690.647683,-0.000591804
09/16/2013 13:42:11,1690.75,1691,1689.25,1689.75,21099,1689.849258,0.000591453
09/16/2013 13:50:54,1689.75,1691.25,1689,1690.75,21089,1690.170326,0
09/16/2013 14:05:14,1690.75,1691.5,1689.75,1690.75,21084,1690.534315,0.000738771
09/16/2013 14:14:54,1691,1692.5,1690.25,1692,21072,1691.570615,-0.000739317
09/16/2013 14:27:22,1692,1692.25,1690.5,1690.75,21073,1691.475822,-0.000295814
09/16/2013 14:34:22,1690.75,1691,1688.75,1690.25,21092,1689.75486,-0.000591979
09/16/2013 14:39:06,1690.25,1690.5,1688.25,1689.25,21100,1689.357073,-0.000740521
09/16/2013 14:43:52,1689.25,1690.5,1688,1688,21073,1689.349381,0.000887837
09/16/2013 14:50:19,1688,1689.75,1688,1689.5,21132,1688.764196,0.000295858
09/16/2013 14:55:52,1689.5,1690.5,1689.25,1690,21095,1689.767611,0.00044359
09/16/2013 14:59:14,1690,1691,1689.5,1690.75,21083,1690.462719,0.000147842
09/16/2013 15:00:05,1690.75,1691.5,1690,1691,21046,1690.690547,-0.000443721
09/16/2013 15:03:42,1691,1691.25,1690,1690.25,21117,1690.587702,0.000738989
09/16/2013 15:11:32,1690.25,1691.5,1689.5,1691.5,20947,1690.38533,-0.001035656
09/16/2013 17:01:55,1691.25,1692.25,1688.75,1689.75,21226,1690.980036,-0.00044405
09/17/2013 0:22:26,1690,1690.75,1688,1689,21097,1689.522799,-0.000444247
09/17/2013 2:56:59,1689,1691.25,1688,1688.25,21097,1689.573518,0
09/17/2013 4:33:51,1688.25,1690.5,1687.75,1688.25,21103,1688.888547,0.000739864
09/17/2013 6:20:32,1688.25,1689.75,1688,1689.5,21105,1689.0439,0.001034738
09/17/2013 7:10:12,1689.5,1691.5,1689.25,1691.25,21078,1690.64546,0.000443262
09/17/2013 7:43:59,1691.25,1692.75,1690.75,1692,21062,1691.730985,0.000147732
09/17/2013 8:07:11,1692,1693.25,1691.5,1692.25,21070,1692.527124,0.000295377
09/17/2013 8:30:05,1692.25,1692.75,1691.75,1692.75,20818,1692.265744,0.000590406
09/17/2013 8:32:28,1692.5,1694,1692.25,1693.75,21302,1693.067904,0.00014758
09/17/2013 8:36:18,1693.75,1694.5,1693.25,1694,21036,1693.905186,0.000147558
09/17/2013 8:41:06,1694,1694.5,1693.5,1694.25,21047,1694.051219,0.000295029
09/17/2013 8:45:45,1694.5,1695.25,1694,1694.75,21034,1694.640463,0.000442347
09/17/2013 8:50:28,1694.75,1695.5,1694.25,1695.5,21018,1694.805809,0.000442152
09/17/2013 8:53:57,1695.5,1696.5,1695.25,1696.25,21024,1695.784473,-0.000589883
09/17/2013 9:01:28,1696.25,1696.5,1694.75,1695.25,21028,1695.56678,0.000589536
